Music,Slow_songs_or_fast_songs,Pop,Rock,Hiphop_Rap,Latino,Techno_Trance,Comedy,Romantic,Sci-fi,Animated,Action,Finances,Shopping_centres,Entertainment_spending,Spending_on_looks,Spending_on_gadgets,Age,Gender,Education,Village-town,Only_child,House-block of flats,Height,Weight,Number_of_siblings,Dance,Folk,Country,Classical_music,Musical,Metal_or_Hardrock,Punk,Opera,Movies,Horror,Thriller
5,3,3,5,1,3,1,5,3,1,4,2,3,2,1,1,3,17,female,secondary school,village,yes,house/bungalow,158,70,0,2,3,3,4,2,4,3,1,5,5,5
5,3,4,4,3,4,2,5,3,4,5,5,3,3,3,2,3,25,male,masters degree,city,no,house/bungalow,174,67,2,5,4,3,4,5,2,2,4,5,3,4
5,4,4,4,4,5,5,4,3,2,4,4,4,3,3,4,3,20,female,secondary school,city,no,block of flats,170,58,1,4,3,2,2,3,1,1,1,5,4,3
5,4,2,5,1,2,1,4,3,4,5,4,2,5,3,4,3,21,female,secondary school,city,no,block of flats,173,58,1,2,2,3,4,3,3,3,4,5,1,5
5,3,3,5,3,1,2,5,4,2,4,5,3,3,4,4,5,22,male,college/bachelor degree,city,no,block of flats,185,90,1,2,2,2,3,4,3,4,3,5,5,5
5,3,4,5,4,5,3,5,5,5,5,5,2,4,5,3,5,25,male,college/bachelor degree,city,no,block of flats,178,77,1,5,4,4,5,4,3,3,3,5,3,3
5,3,4,5,5,2,4,5,3,5,2,3,4,4,3,3,2,19,female,secondary school,city,yes,block of flats,166,55,0,3,2,1,2,3,3,3,1,4,3,3
5,3,5,2,5,5,2,5,5,1,5,5,4,5,5,5,5,25,female,masters degree,city,no,block of flats,167,64,2,5,2,2,2,4,1,1,1,5,5,5
5,3,5,4,4,5,3,4,4,2,3,5,3,4,2,4,2,25,female,masters degree,city,no,block of flats,169,60,1,3,4,2,4,4,1,3,3,5,3,5
5,4,3,2,2,5,1,4,4,3,4,2,4,5,3,4,2,21,female,secondary school,city,yes,house/bungalow,168,60,0,3,2,2,3,3,1,1,2,5,3,3
4,3,2,2,2,3,3,4,3,3,5,4,4,4,1,2,3,20,male,secondary school,city,no,block of flats,178,65,2,1,1,2,3,2,1,2,3,5,1,1
4,4,3,3,3,2,1,4,4,3,3,4,3,2,3,3,3,24,female,masters degree,city,no,block of flats,165,49,2,3,3,3,3,3,2,1,2,4,2,2
5,4,4,3,5,5,2,4,4,2,5,3,4,4,2,3,1,30,female,masters degree,city,no,block of flats,160,47,2,4,3,1,3,2,1,1,1,5,4,5
5,4,1,3,2,1,1,3,1,5,1,5,4,2,1,2,3,21,male,secondary school,city,no,block of flats,176,75,1,1,1,3,1,1,5,3,1,5,5,4
5,3,3,4,1,2,1,4,3,1,3,4,3,5,4,4,5,27,male,masters degree,city,no,block of flats,186,77,3,3,1,1,2,1,2,1,1,4,2,4
5,4,3,4,3,1,5,3,2,5,2,5,3,2,3,3,4,21,male,college/bachelor degree,city,no,block of flats,172,68,1,3,1,3,1,2,5,3,1,5,4,4
5,4,4,4,2,2,1,5,4,4,3,3,3,3,4,4,4,22,female,secondary school,city,no,block of flats,160,65,1,2,4,1,5,5,3,4,5,5,4,5
5,3,4,2,3,1,4,4,2,4,4,4,3,3,3,3,5,19,male,secondary school,village,no,block of flats,180,80,1,4,1,2,3,1,1,1,3,5,2,3
5,3,2,5,1,3,1,5,2,1,3,1,4,1,5,3,5,20,female,secondary school,village,no,block of flats,170,90,1,2,1,3,1,3,4,1,2,4,2,1
2,3,3,4,2,3,1,5,3,4,4,3,2,2,2,1,1,23,male,secondary school,village,no,house/bungalow,175,79,2,2,3,3,3,4,2,2,3,4,2,2
5,3,4,5,3,1,5,5,5,5,5,2,5,4,3,4,3,20,female,college/bachelor degree,village,no,house/bungalow,167,57,2,4,5,5,5,2,1,5,3,5,1,1
5,3,5,4,3,5,4,5,5,5,5,3,4,1,3,3,3,21,female,secondary school,village,no,house/bungalow,168,60,1,4,5,1,4,5,1,1,4,5,1,3
5,3,3,3,3,2,2,5,3,2,5,3,3,4,3,4,2,19,female,secondary school,city,no,block of flats,166,44,1,4,2,3,3,3,1,3,2,5,3,3
5,5,3,1,1,5,1,5,5,2,3,2,2,1,1,3,1,21,female,college/bachelor degree,city,no,block of flats,164,58,1,3,4,3,5,5,1,1,5,4,5,4
5,4,4,4,4,2,4,5,5,3,2,2,3,5,3,4,5,16,female,currently a primary school pupil,city,yes,block of flats,165,50,0,5,1,5,1,5,1,3,1,5,2,3
5,5,4,5,4,1,1,5,1,5,5,5,3,5,3,3,5,20,male,secondary school,village,no,house/bungalow,180,88,1,4,2,1,3,1,1,5,1,5,5,5
5,3,5,5,4,5,2,4,5,2,5,3,2,4,2,4,3,18,female,secondary school,city,yes,block of flats,173,60,0,3,2,2,3,4,1,1,2,5,1,3
5,5,3,5,1,1,5,5,3,1,3,3,3,3,4,5,1,21,female,secondary school,city,no,block of flats,168,54,1,3,1,1,1,1,5,1,1,2,1,1
5,3,4,4,2,2,3,4,2,3,3,5,3,3,3,2,2,21,male,secondary school,village,no,house/bungalow,177,68,2,4,3,1,2,2,4,4,2,5,3,3
5,3,5,3,3,2,2,4,4,3,4,2,3,5,3,3,4,18,male,college/bachelor degree,city,no,block of flats,167,56,2,4,3,2,5,3,2,1,2,5,4,3
5,3,5,5,4,3,3,5,4,1,5,1,1,5,5,5,1,19,female,secondary school,village,no,house/bungalow,173,69,1,3,1,1,1,1,1,2,1,5,5,5
5,5,1,2,1,1,1,3,1,3,1,4,2,1,5,2,3,18,male,secondary school,village,no,house/bungalow,180,60,1,1,2,1,2,2,4,5,2,5,5,5
5,1,5,1,1,4,1,5,4,3,3,2,3,5,1,2,1,18,female,primary school,village,no,house/bungalow,172,60,1,4,4,2,2,3,1,1,2,5,1,5
5,3,5,5,3,3,3,2,2,2,1,4,3,3,3,1,1,23,female,secondary school,village,yes,house/bungalow,158,53,0,5,2,5,5,5,1,1,5,3,1,2
5,4,2,5,1,1,1,5,1,2,5,4,3,2,5,4,5,20,female,secondary school,village,no,house/bungalow,165,52,1,1,1,1,3,1,3,5,3,5,1,3
5,2,5,4,2,3,2,5,5,5,5,5,5,3,1,1,2,18,female,secondary school,village,no,house/bungalow,168,55,1,2,3,2,5,5,1,1,3,5,1,2
5,3,4,5,3,1,2,5,5,5,5,5,4,4,3,3,1,21,female,secondary school,village,no,house/bungalow,161,57,3,3,1,1,2,3,3,5,3,5,4,5
5,2,2,5,1,2,1,4,2,3,4,1,3,1,4,1,1,22,female,masters degree,city,no,house/bungalow,160,65,1,1,1,1,1,1,4,1,1,4,1,4
5,3,2,3,2,3,2,4,3,4,5,3,1,1,4,2,1,19,male,secondary school,city,no,block of flats,180,77,1,3,3,1,5,1,1,2,4,5,2,4
5,3,5,3,3,2,3,4,5,3,5,3,4,2,2,2,2,18,female,primary school,city,no,block of flats,164,56,2,5,3,2,4,5,2,4,3,5,1,3
5,5,4,4,2,4,3,5,4,4,5,3,4,4,2,2,2,19,female,masters degree,village,no,house/bungalow,170,53,1,3,3,3,4,2,2,2,2,5,1,3
4,3,2,2,3,4,5,5,3,3,5,5,5,4,4,3,4,19,male,secondary school,village,no,house/bungalow,185,78,2,4,1,3,2,3,1,1,4,5,4,4
5,3,1,5,3,3,1,4,2,3,3,2,3,2,4,2,2,20,male,secondary school,city,no,block of flats,184,80,1,2,2,2,3,1,4,3,1,4,5,4
5,3,5,4,2,3,2,4,3,3,2,2,3,1,3,3,3,19,female,secondary school,city,no,block of flats,170,56,3,4,4,4,2,4,3,4,2,5,3,5
5,4,5,3,4,5,4,4,1,4,3,5,2,4,2,5,4,18,male,secondary school,city,no,block of flats,184,83,1,4,1,2,2,3,1,1,1,5,1,3
5,3,3,5,2,1,1,4,3,2,4,2,2,5,2,3,1,18,female,secondary school,city,no,block of flats,173,60,1,1,1,1,1,2,5,3,1,4,2,2
4,3,4,4,2,4,3,5,4,4,4,4,1,5,2,4,2,19,male,secondary school,city,no,block of flats,176,62,1,2,2,2,2,1,2,2,2,4,3,3
5,3,4,5,4,2,1,4,5,2,5,2,1,3,1,2,2,18,female,secondary school,village,no,house/bungalow,180,74,2,1,1,1,2,3,4,4,2,5,1,2
5,5,4,2,4,2,4,5,3,3,2,5,4,4,5,5,1,19,male,secondary school,city,no,block of flats,175,70,1,5,2,2,1,1,1,1,1,5,3,5
5,3,4,4,3,3,4,5,4,2,2,2,3,3,3,4,4,19,female,secondary school,city,no,block of flats,164,58,1,4,1,2,4,3,1,1,1,5,3,3
5,3,5,4,3,2,2,5,4,3,5,3,2,4,4,5,3,18,female,secondary school,city,no,block of flats,163,58,6,4,2,4,3,3,1,4,1,5,5,4
4,3,3,3,3,3,3,4,2,5,3,4,3,3,2,3,1,18,female,secondary school,village,no,house/bungalow,162,54,3,2,2,2,4,3,1,2,3,4,3,4
5,4,2,3,2,2,4,4,2,3,3,2,4,1,3,2,2,19,female,secondary school,city,no,block of flats,170,54,1,3,2,4,2,2,4,4,2,5,3,3
5,3,5,3,4,5,1,5,5,3,5,3,3,5,3,4,4,20,female,secondary school,city,yes,block of flats,157,43,1,4,2,2,2,3,1,1,1,5,1,2
4,3,3,3,4,1,4,5,1,3,2,4,2,1,2,4,4,19,male,secondary school,city,no,block of flats,185,70,1,4,1,2,2,1,1,1,1,5,4,3
3,2,1,1,1,1,1,4,4,1,3,1,5,2,2,2,1,26,female,masters degree,village,no,house/bungalow,163,55,3,1,3,3,3,4,1,1,2,4,2,2
5,3,4,4,4,2,3,5,4,3,4,2,2,4,4,4,4,19,female,secondary school,village,no,house/bungalow,168,49,1,4,2,2,2,2,1,1,2,5,3,4
5,4,5,3,2,3,1,5,3,5,5,5,1,2,3,5,5,22,male,college/bachelor degree,village,no,house/bungalow,178,82,1,4,3,1,5,3,1,1,4,5,4,5
5,3,4,4,3,3,3,4,4,2,3,4,4,4,4,4,2,20,male,college/bachelor degree,village,no,house/bungalow,165,65,1,3,2,2,3,1,1,1,1,4,2,4
5,3,5,3,3,1,3,5,5,1,2,1,3,5,5,5,5,28,female,masters degree,city,no,block of flats,180,63,2,4,1,1,1,1,3,3,1,5,3,5
4,4,4,5,3,2,1,5,4,2,5,3,4,5,3,4,1,21,female,secondary school,city,yes,house/bungalow,156,48,0,2,1,1,2,3,3,4,1,5,5,5
5,3,5,5,3,2,4,5,5,1,4,5,3,4,1,3,2,19,female,secondary school,village,no,house/bungalow,175,58,1,4,2,1,2,3,2,5,2,5,1,3
5,5,3,2,5,1,1,5,1,2,1,5,5,1,4,3,5,22,male,secondary school,city,no,block of flats,188,80,2,3,1,1,1,1,1,4,1,5,3,3
5,4,4,5,2,2,4,5,3,5,3,5,5,3,3,1,4,19,male,secondary school,city,no,house/bungalow,181,62,2,4,2,1,2,1,2,3,1,5,2,4
4,2,2,3,1,2,3,5,4,1,5,1,4,3,3,3,2,19,female,secondary school,city,yes,block of flats,166,62,0,2,2,3,3,3,2,3,3,5,1,2
5,4,2,4,5,1,1,5,2,2,3,5,1,2,5,5,5,22,male,secondary school,city,no,block of flats,189,78,2,3,1,1,1,1,2,4,1,5,5,5
5,3,3,3,1,4,2,5,3,2,3,3,3,3,2,4,3,29,male,masters degree,village,yes,house/bungalow,189,96,3,2,4,3,3,3,1,1,4,4,2,3
5,3,5,3,3,5,1,4,5,1,5,2,3,4,1,2,1,18,female,secondary school,city,yes,block of flats,164,60,0,3,1,1,3,3,1,1,1,5,1,1
5,4,3,4,2,5,3,4,5,1,3,1,3,5,3,5,2,22,female,secondary school,city,no,house/bungalow,172,50,1,4,3,3,3,2,1,4,2,3,1,4
5,3,3,1,2,5,2,5,3,3,3,4,4,2,2,4,2,17,female,secondary school,city,no,house/bungalow,157,46,1,3,2,2,3,4,1,2,2,5,2,3
4,2,3,2,4,2,2,5,4,2,3,4,4,4,2,2,1,20,female,secondary school,village,no,house/bungalow,161,46,1,4,3,2,3,2,2,1,1,5,2,2
4,3,5,2,3,3,1,5,5,2,3,3,5,3,2,3,1,19,female,secondary school,village,no,block of flats,167,58,1,4,3,1,2,3,1,1,3,4,5,5
5,3,3,5,2,2,2,5,3,5,5,5,1,3,3,2,2,20,male,secondary school,city,no,block of flats,178,74,1,4,2,2,2,2,4,5,1,5,2,4
3,3,4,3,1,1,1,5,2,2,1,1,3,1,3,2,2,25,male,masters degree,village,no,block of flats,186,78,1,2,2,4,3,2,1,2,2,3,5,4
5,4,5,4,4,5,4,5,5,5,5,4,3,4,3,4,3,21,female,secondary school,city,no,block of flats,161,55,2,5,3,5,3,4,2,3,4,5,2,4
3,4,3,4,4,1,1,5,4,4,3,4,4,2,3,3,4,22,male,secondary school,city,no,block of flats,189,82,2,2,1,3,1,1,2,4,1,5,1,4
3,3,4,2,3,3,2,5,4,3,2,1,2,2,2,2,2,28,female,masters degree,city,no,block of flats,171,57,1,4,2,2,2,1,1,1,1,5,2,5
5,3,3,5,3,3,1,4,2,4,3,4,2,1,3,2,4,22,male,secondary school,city,no,block of flats,177,75,1,2,4,3,5,4,3,2,4,5,4,4
5,5,2,5,3,1,1,5,2,1,5,1,4,5,5,5,5,20,female,college/bachelor degree,village,yes,house/bungalow,160,49,2,2,2,2,1,1,1,5,1,5,3,5
4,3,3,2,5,5,4,5,5,1,4,1,3,4,3,3,3,16,female,primary school,city,no,block of flats,168,50,1,3,2,2,2,3,1,1,2,1,2,2
5,3,4,4,3,5,1,5,4,4,4,4,3,2,1,3,3,19,female,secondary school,city,no,block of flats,165,56,1,3,2,2,2,2,2,3,2,5,4,4
5,5,2,5,1,3,2,3,5,2,5,4,2,2,4,3,3,20,female,secondary school,city,no,block of flats,163,68,2,3,3,1,4,4,2,2,2,5,1,2
5,3,5,3,5,4,2,4,2,3,3,5,5,4,4,3,5,21,male,college/bachelor degree,city,no,block of flats,185,78,1,4,1,2,2,1,1,1,1,5,3,5
5,3,2,5,1,2,1,5,5,3,4,1,3,4,4,3,2,19,female,secondary school,city,no,block of flats,165,55,1,2,2,1,2,4,2,2,2,5,2,3
3,2,3,3,2,4,2,4,4,2,4,2,3,4,3,2,2,25,female,college/bachelor degree,city,no,block of flats,170,52,1,3,2,4,5,4,1,1,4,4,3,4
5,3,2,4,1,3,1,4,3,2,5,3,2,1,5,3,1,19,female,secondary school,village,no,house/bungalow,170,50,3,3,2,1,3,2,1,1,1,5,1,1
5,3,2,4,1,4,4,5,5,5,5,3,3,3,3,3,2,19,female,secondary school,city,no,house/bungalow,172,58,2,3,5,2,4,2,2,1,4,5,3,3
5,3,4,4,2,5,2,3,5,1,2,1,5,2,3,4,2,21,female,secondary school,city,no,block of flats,179,60,1,4,5,3,4,2,2,2,2,4,4,5
5,3,4,4,1,4,5,5,5,5,5,2,5,2,1,1,1,28,female,masters degree,city,no,block of flats,176,60,1,2,2,1,5,5,1,1,4,5,2,1
5,3,5,1,5,2,1,5,3,4,2,2,2,5,4,5,5,21,female,college/bachelor degree,village,no,house/bungalow,168,50,1,5,1,1,2,2,1,1,1,5,5,4
5,4,3,5,3,2,1,5,3,4,4,5,2,3,4,3,2,20,male,secondary school,village,no,house/bungalow,177,75,3,3,4,2,2,2,3,4,1,5,2,4
5,4,2,2,5,1,2,5,2,3,2,4,2,4,3,3,3,19,male,secondary school,city,no,block of flats,189,83,1,2,1,1,1,1,3,3,1,5,1,5
5,4,2,2,2,4,1,3,2,4,1,2,3,4,5,4,2,21,female,college/bachelor degree,village,no,house/bungalow,168,53,1,3,4,3,3,4,1,1,2,4,2,3
5,3,4,4,4,3,2,4,4,4,3,4,3,2,4,4,4,22,male,college/bachelor degree,village,yes,house/bungalow,176,70,1,5,3,3,4,4,3,2,4,4,2,3
5,3,3,3,4,2,1,5,4,4,4,4,4,3,4,3,4,19,male,secondary school,city,no,block of flats,185,75,2,3,1,2,3,2,1,1,1,5,3,3
5,4,3,4,3,3,3,5,3,3,4,4,4,3,3,3,3,20,male,secondary school,village,yes,block of flats,178,74,0,3,1,1,2,3,5,5,1,4,3,5
5,3,3,5,1,2,1,5,3,3,5,4,4,3,2,2,2,22,male,college/bachelor degree,city,yes,block of flats,178,66,0,1,5,5,2,2,1,1,2,5,3,4
5,4,4,5,1,2,1,5,1,4,4,5,5,4,5,1,5,19,male,secondary school,city,no,block of flats,187,69,1,4,3,3,3,4,5,3,2,5,5,4
5,4,5,4,4,5,4,5,3,3,5,4,4,5,3,4,1,18,female,secondary school,city,no,block of flats,171,62,1,4,2,2,3,2,1,2,4,4,1,2
5,4,1,2,4,2,4,4,2,3,2,4,1,1,5,3,4,19,male,primary school,city,no,block of flats,185,74,1,4,3,1,2,1,2,1,1,4,3,3
5,3,4,2,4,4,2,5,5,3,3,3,3,3,3,3,3,23,female,masters degree,city,no,block of flats,174,62,1,3,1,2,2,2,1,1,1,5,2,3
5,3,5,3,3,5,3,5,4,1,5,1,1,5,4,5,1,20,female,secondary school,city,yes,block of flats,157,57,0,5,5,1,5,4,2,2,3,5,3,5
5,3,4,3,3,4,4,5,4,3,4,4,3,4,3,4,3,18,female,secondary school,city,no,house/bungalow,165,57,2,4,2,2,3,3,1,2,3,5,1,2
5,4,5,5,5,1,3,5,2,5,4,5,3,2,2,1,4,20,male,secondary school,city,no,house/bungalow,185,85,2,3,1,1,5,3,1,2,2,5,2,5
5,2,3,5,1,3,1,3,2,2,4,2,3,2,3,2,3,20,male,secondary school,city,no,block of flats,180,68,1,1,2,2,2,1,3,2,2,4,1,2
5,3,5,2,1,3,1,5,3,3,1,5,4,4,4,2,1,28,female,secondary school,city,no,block of flats,172,50,2,3,5,2,3,3,1,1,1,4,1,1
5,4,2,5,1,2,1,4,4,3,5,3,3,4,2,1,2,22,male,secondary school,village,no,house/bungalow,189,68,1,2,5,4,5,2,4,3,1,5,2,1
5,3,4,4,2,4,4,5,4,2,5,3,2,4,3,5,1,19,female,secondary school,city,yes,block of flats,170,65,0,4,2,1,3,3,2,1,2,5,4,3
5,3,3,5,2,3,3,4,3,3,3,3,3,4,5,4,4,21,male,college/bachelor degree,city,no,block of flats,184,82,3,3,1,2,2,2,2,3,2,5,3,3
5,1,5,5,4,4,4,5,5,5,5,5,1,5,5,5,5,17,male,secondary school,village,no,house/bungalow,175,60,2,3,3,4,4,4,3,4,1,5,4,4
5,5,4,2,5,3,5,5,3,1,3,5,1,5,5,5,5,19,female,college/bachelor degree,city,no,block of flats,168,57,1,2,1,1,1,2,2,1,1,5,5,5
5,3,3,4,3,1,2,3,4,1,4,3,3,2,4,1,3,25,male,masters degree,city,no,block of flats,190,82,3,3,2,1,4,3,1,3,3,5,2,4
5,3,4,4,4,3,3,5,4,4,5,4,4,4,1,1,1,20,female,secondary school,village,no,house/bungalow,170,52,1,3,2,1,3,3,4,4,2,5,3,4
5,3,4,5,1,1,1,2,1,5,1,3,1,4,4,3,3,26,male,college/bachelor degree,city,no,block of flats,194,85,2,3,2,2,5,1,4,1,4,5,2,5
5,4,3,2,4,3,1,5,5,3,5,4,2,5,4,5,3,20,female,secondary school,city,no,block of flats,175,53,2,3,2,2,2,3,2,2,1,5,3,3
5,4,2,5,2,3,1,1,2,4,4,3,1,4,5,4,5,21,male,masters degree,city,yes,house/bungalow,175,75,2,2,3,1,4,5,4,3,3,5,1,4
5,3,3,3,3,1,3,5,3,5,5,5,3,1,2,1,1,20,male,secondary school,village,no,block of flats,176,70,3,3,3,3,3,1,3,3,1,5,5,5
5,3,4,5,2,5,1,5,3,5,5,4,4,4,4,2,3,27,male,masters degree,village,no,house/bungalow,178,77,3,3,2,2,5,5,3,3,5,5,5,5
5,4,1,4,2,1,1,5,2,2,4,4,3,2,3,1,1,21,male,secondary school,village,no,house/bungalow,203,80,2,1,4,2,5,3,5,2,5,5,3,5
5,3,3,5,1,2,1,4,3,5,5,4,1,5,4,4,2,17,female,primary school,village,yes,house/bungalow,163,49,3,2,5,4,3,3,2,2,2,5,1,3
3,3,3,2,3,2,3,5,5,3,3,4,2,5,2,4,2,18,female,secondary school,village,yes,house/bungalow,170,53,1,4,4,2,2,2,1,1,2,4,2,2
4,3,3,3,3,3,3,4,4,2,2,4,3,4,2,3,2,19,male,college/bachelor degree,village,yes,house/bungalow,178,65,0,3,4,2,3,4,2,2,1,4,1,2
5,5,5,1,4,4,2,5,5,1,2,5,1,5,3,5,2,21,female,college/bachelor degree,village,yes,house/bungalow,167,63,1,5,3,1,1,2,1,2,1,4,2,4
5,3,4,4,2,3,1,5,5,5,3,5,4,3,3,3,3,20,female,college/bachelor degree,city,no,block of flats,170,55,2,2,3,3,2,3,2,2,2,5,3,4
5,3,2,4,5,1,1,5,5,2,3,2,3,3,4,3,2,20,female,secondary school,village,yes,house/bungalow,173,55,1,5,2,2,1,2,2,1,1,5,4,5
5,3,4,4,5,4,4,5,2,5,4,4,5,1,1,1,3,20,male,secondary school,city,no,block of flats,185,86,1,4,3,3,4,2,1,3,3,4,3,4
5,5,1,5,3,1,2,5,3,5,5,5,4,4,5,3,4,20,male,college/bachelor degree,village,no,house/bungalow,180,75,2,5,1,1,1,1,1,5,1,5,1,5
5,3,2,2,4,3,2,5,5,2,3,5,3,2,2,2,2,19,female,secondary school,village,no,house/bungalow,175,76,1,3,2,2,2,3,1,1,1,5,1,2
5,4,5,3,3,3,3,5,5,1,4,3,3,4,2,3,2,23,female,college/bachelor degree,city,no,block of flats,172,64,1,5,2,1,2,1,1,1,1,5,2,3
5,3,3,3,2,3,2,5,5,4,4,3,3,3,3,2,3,20,female,college/bachelor degree,city,no,house/bungalow,165,48,1,4,4,2,3,2,2,2,1,5,2,2
4,3,2,4,3,1,4,5,3,3,3,4,1,5,5,5,5,17,male,primary school,city,no,block of flats,183,75,3,3,1,1,1,1,3,3,1,5,1,3
5,5,3,3,3,2,5,5,5,1,5,3,3,3,2,1,1,20,female,secondary school,village,no,house/bungalow,178,58,1,5,3,1,1,3,1,1,1,5,1,3
5,4,2,4,2,5,2,5,3,3,4,2,4,2,2,2,2,21,female,secondary school,city,no,house/bungalow,169,65,1,3,4,3,4,4,2,3,2,4,2,2
5,3,3,3,5,2,3,5,5,5,5,5,1,2,5,3,5,21,male,secondary school,city,no,house/bungalow,178,78,3,3,2,4,3,5,1,2,2,5,3,5
5,4,3,3,1,2,2,4,5,4,3,2,3,5,2,3,2,19,female,secondary school,city,no,block of flats,160,43,1,4,2,1,2,5,1,1,1,5,4,4
